"Control panel";"Панель управления"
"Dashboard";"Рабочая панель"
"Welcome!";"Добро пожаловать!"
"Orders";"Заказы"
"Wrong login or password";"Неверный логин или пароль"
"Wrong email or password";"Неверный электронный адрес или пароль"
"You are already logged.";"Вы уже авторизованны."
"Remember me";"Запомнить меня"
"Login";"Логин"
"E-mail";"Электронный адрес"
"Password";"Пароль"
"Enter";"Войти"
"Login page";"Вход в систему"
"Save";"Сохранить"
"Personal blog";"Персональный блог"
"Collaborative blog (community)";"Коллективный блог (сообщество)"
"Title";"Заголовок"
"Description";"Описание"
"Type";"Тип"
"Create new blog";"Создай новый блог"
"Create blog";"Создание блога"
"Blogs";"Блоги"
"Blog";"Блог"
"Manage blogs";"Управление блогами"
"Value is required and can't be empty";"Значение не должно быть пустым"
"English";"Английский"
"Russian";"Русский"
"Admin blogs";"Уравление блогами"
"Created";"Создано"
"Edit";"Редактировать"
"Delete";"Удалить"
"Actions";"Действия"
"Fancy url";"Псевдоним для URL-адреса"
"No blogs here";"Не заведенно ещё ни одного блога"
